"Environment and Climate Change Canada"
"Monthly Values for January - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"KENORA","49.800","-94.533","ON","-17.8","0",NA,"0.0","0","-36.7","0","31.8","0",NA,"31.8","0",NA,"","6","","",NA,"1108.5","0.0","6034070"
"SIOUX LOOKOUT","50.133","-91.867","ON","-18.5","0",NA,"1.1","0","-37.8","0","16.2","0",NA,"16.2","0",NA,"","6","","",NA,"1132.5","0.0","6037770"
"WHITEFISH BAY","49.483","-93.967","ON","",,NA,"",,"",,"23.6","0",NA,"23.6","0",NA,"","6","","",NA,"","","6039465"
"ARMSTRONG","50.283","-89.150","ON","-22.2","0",NA,"-1.1","0","-42.2","0","17.3","0",NA,"17.3","0",NA,"","7","","",NA,"1246.3","0.0","6040322"
"CAMERON FALLS","49.150","-88.350","ON","-19.5","0","-3.3","0.0","0","-38.9","0","17.1","0","31.0","17.1","0","31.0","","6","","",NA,"1162.4","0.0","6041109"
"DONA","48.500","-89.517","ON","",,NA,"",,"",,"16.6","0",NA,"16.6","0",NA,"","7","","",NA,"","","6042063"
"KAKABEKA FALLS","48.400","-89.617","ON","-16.8","0",NA,"2.8","0","-38.3","0","14.0","0",NA,"14.0","0",NA,"","6","","",NA,"1078.0","0.0","6043930"
"LONGLAC","49.750","-86.500","ON","-19.3","0",NA,"2.2","0","-40.0","0","44.5","0",NA,"44.5","0",NA,"","7","","",NA,"1157.7","0.0","6044525"
"MACDIARMID","49.433","-88.150","ON","",,NA,"",,"",,"12.7","0",NA,"12.7","0",NA,"","2","","",NA,"","","6044735"
"NAKINA FORESTRY","50.183","-86.700","ON","",,NA,"",,"",,"24.4","0",NA,"24.4","0",NA,"","9","","",NA,"","","6045572"
"NORTH LAKE","48.133","-90.567","ON","-18.0","0",NA,"2.8","0","-38.9","0","33.0","0",NA,"33.0","0",NA,"","8","","",NA,"1116.8","0.0","6045711"
"PORT ARTHUR","48.433","-89.217","ON","-15.3","0",NA,"1.1","0","-33.3","0","48.4","0",NA,"48.4","0",NA,"","9","","",NA,"1033.6","0.0","6046588"
"QUORN","49.417","-90.900","ON","-20.1","0",NA,"1.7","0","-42.8","0","",,NA,"",,NA,"","","","",NA,"1180.7","0.0","6046811"
"SAVANNE","48.967","-90.200","ON","-20.7","0",NA,"1.7","0","-42.8","0","40.7","0",NA,"40.7","0",NA,"","9","","",NA,"1198.3","0.0","6047615"
"SCHREIBER","48.817","-87.267","ON","-16.7","0",NA,"1.7","0","-33.3","0","72.0","0",NA,"72.0","0",NA,"","11","","",NA,"1076.8","0.0","6047627"
"BLIND RIVER","46.200","-83.000","ON","-11.0","0",NA,"4.4","0","-29.4","0","40.8","0",NA,"49.9","0",NA,"","14","","",NA,"898.7","0.0","6050801"
"FRANZ","48.467","-84.417","ON","-18.5","3",NA,"2.8","3","-42.2","0","112.6","0",NA,"112.6","0",NA,"","11","","",NA,"1022.5","0.0","6052563"
"HORNEPAYNE","49.233","-84.800","ON","-21.1","0",NA,"1.1","0","-48.3","0","40.0","0",NA,"40.0","0",NA,"","9","","",NA,"1210.6","0.0","6053570"
"OBA","49.067","-84.100","ON","-20.5","8",NA,"-1.1","8","-42.8","8","38.0","0",NA,"38.0","0",NA,"","8","","",NA,"885.3","0.0","6055754"
"STEEP HILL FALLS","48.067","-84.800","ON","-16.7","0",NA,"2.8","0","-37.2","0","175.3","0",NA,"175.3","0",NA,"","14","","",NA,"1074.6","0.0","6058010"
"WHITE RIVER","48.600","-85.283","ON","-20.0","0",NA,"2.8","0","-46.7","0","78.1","0",NA,"78.1","0",NA,"","11","","",NA,"1176.6","0.0","6059475"
"BISCOTASING","47.300","-82.100","ON","-16.5","0",NA,"3.3","0","-40.0","0","84.1","0",NA,"84.1","0",NA,"","9","","",NA,"1070.4","0.0","6060773"
"CHAPLEAU 2","47.833","-83.433","ON","-17.5","0",NA,"3.9","0","-41.7","0","89.4","0",NA,"89.4","0",NA,"","12","","",NA,"1099.9","0.0","6061359"
"CONISTON","46.467","-80.817","ON","-16.0","15",NA,"-2.2","15","-35.6","0","36.7","0",NA,"58.5","0",NA,"","12","","",NA,"543.3","0.0","6061847"
"RUEL","47.300","-81.450","ON","-17.2","0",NA,"6.1","0","-42.8","0","57.2","0",NA,"61.0","0",NA,"","8","","",NA,"1092.6","0.0","6067211"
"TURBINE","46.383","-81.567","ON","-14.5","0",NA,"5.6","0","-34.4","0","77.7","0",NA,"77.7","0",NA,"","11","","",NA,"1008.2","0.0","6068980"
"ABITIBI CANYON","49.883","-81.567","ON","-20.3","0",NA,"1.7","0","-42.2","0","54.4","0",NA,"54.4","0",NA,"","10","","",NA,"1185.8","0.0","6070027"
"COCHRANE","49.067","-81.033","ON","-18.5","0",NA,"2.2","0","-36.1","0","123.2","0",NA,"123.2","0",NA,"","14","","",NA,"1132.7","0.0","6071712"
"HAILEYBURY","47.450","-79.633","ON","-16.0","0",NA,"3.9","0","-34.4","0","63.8","0",NA,"72.9","0",NA,"","14","","",NA,"1054.5","0.0","6073138"
"HEASLIP","47.800","-79.833","ON","-16.9","0",NA,"8.9","0","-40.0","0","61.0","0",NA,"61.0","0",NA,"","3","","",NA,"1083.4","0.0","6073420"
"IROQUOIS FALLS","48.750","-80.667","ON","-19.2","0",NA,"3.3","0","-40.6","0","71.7","0",NA,"71.7","0",NA,"","8","","",NA,"1153.5","0.0","6073810"
"KAPUSKASING CDA","49.400","-82.433","ON","-19.4","0","-0.9","2.8","0","-39.4","0","54.5","0","102.0","54.5","0","107.0","","14","60.4","1",NA,"1160.7","0.0","6073960"
"KAPUSKASING A","49.414","-82.468","ON","-23.2","14","-5.3","-4.4","14","-39.4","0","58.5","0","105.0","58.5","0","122.0","","9","","",NA,"700.8","0.0","6073975"
"MONTREAL RIVER","47.117","-79.483","ON","-17.8","0",NA,"3.9","0","-37.8","0","67.7","0",NA,"74.6","0",NA,"","12","","",NA,"1110.4","0.0","6075379"
"MOOSE FACTORY","51.233","-80.500","ON","-21.1","0",NA,"2.2","0","-40.6","0","",,NA,"",,NA,"","","","",NA,"1212.9","0.0","6075400"
"MOOSONEE UA","51.267","-80.650","ON","-20.9","3","-0.9","1.7","3","-37.8","2","56.5","0","142.0","56.5","0","171.0","","14","","",NA,"1089.7","0.0","6075425"
"SMOKY FALLS","50.067","-82.167","ON","-20.5","0","-1.7","1.7","0","-40.6","0","75.1","0","130.0","75.1","0","130.0","","12","","",NA,"1193.0","0.0","6077845"
"TIMMINS","48.500","-81.333","ON","-18.0","0",NA,"3.9","0","-32.2","0","150.2","0",NA,"150.2","0",NA,"","15","","",NA,"1116.5","0.0","6078280"
"WAWAITIN","48.350","-81.400","ON","-19.5","0",NA,"3.9","0","-38.3","0","102.5","0",NA,"102.5","0",NA,"","13","","",NA,"1162.0","0.0","6079415"
"ALGONQUIN PARK","45.583","-78.550","ON","-13.6","0",NA,"5.0","0","-34.4","0","49.9","0",NA,"49.9","0",NA,"","11","","",NA,"980.6","0.0","6080189"
"BEAR ISLAND","46.983","-80.083","ON","-16.1","0",NA,"5.6","0","-33.9","0","",,NA,"",,NA,"","","","",NA,"1056.3","0.0","6080577"
"CRYSTAL FALLS","46.450","-79.867","ON","-15.5","0",NA,"8.9","0","-37.2","0","41.6","0",NA,"111.7","0",NA,"","15","","",NA,"1040.0","0.0","6081928"
"MADAWASKA","45.500","-77.983","ON","-13.6","0","-1.5","5.6","0","-38.3","0","2.5","0","5.0","34.8","0","60.0","","3","","",NA,"979.3","0.0","6084770"
"NORTH BAY","46.317","-79.467","ON","-13.5","0",NA,"5.6","0","-31.1","0","23.5","0",NA,"54.1","0",NA,"","11","","",NA,"977.8","0.0","6085682"
"RUTHERGLEN","46.250","-79.067","ON","-14.2","0",NA,"7.8","0","-36.7","0","30.5","0",NA,"47.8","0",NA,"","7","","",NA,"998.2","0.0","6087255"
"GORE BAY","45.917","-82.467","ON","-11.4","0",NA,"5.0","0","-28.9","0","60.9","0",NA,"95.2","0",NA,"","12","","",NA,"912.5","0.0","6092915"
"PROVIDENCE BAY","45.667","-82.233","ON","-9.8","0",NA,"6.1","0","-26.1","0","68.6","0",NA,"95.2","0",NA,"","7","","",NA,"863.2","0.0","6096755"
"BROCKVILLE","44.600","-75.700","ON","-9.0","0",NA,"6.1","0","-28.9","0","22.8","0",NA,"33.9","0",NA,"","6","","",NA,"837.4","0.0","6100969"
"CLONTARF","45.383","-77.150","ON","-11.8","0",NA,"6.7","0","-32.8","0","15.4","0",NA,"56.8","0",NA,"","8","","",NA,"925.2","0.0","6101658"
"DALHOUSIE L HIGH FALLS","44.967","-76.617","ON","",,NA,"",,"",,"22.9","0",NA,"51.1","0",NA,"","9","","",NA,"","","6101955"
"KINGSTON QUEENS U","44.250","-76.500","ON","-7.7","0",NA,"7.8","0","-23.9","0","20.9","0",NA,"47.8","0",NA,"","10","","",NA,"797.7","0.0","6104185"
"MORRISBURG","44.917","-75.183","ON","-10.4","0","-0.9","9.4","0","-35.6","0","50.8","0","117.0","77.3","0","107.0","","17","","",NA,"881.7","0.0","6105460"
"OTTAWA CDA","45.383","-75.717","ON","-12.5","0","-2.3","6.7","0","-31.7","0","28.5","0","64.0","48.6","0","77.0","","11","","",NA,"944.0","0.0","6105976"
"PEMBROKE EDDY MATCH","45.833","-77.150","ON","-12.3","0",NA,"6.1","0","-33.3","0","27.0","0",NA,"50.2","0",NA,"","12","","",NA,"938.4","0.0","6106362"
"RENFREW SAND POINT","45.483","-76.433","ON","-14.4","0",NA,"5.6","0","-35.6","0","44.6","0",NA,"66.2","0",NA,"","12","","",NA,"1003.9","0.0","6107004"
"ANGUS","44.317","-79.867","ON","-11.5","10",NA,"6.1","5","-32.8","6","",,NA,"",,NA,"","","","",NA,"619.2","0.0","6110270"
"BEATRICE","45.133","-79.383","ON","-11.4","0",NA,"5.0","0","-29.4","0","76.0","0",NA,"96.8","0",NA,"","14","","",NA,"911.6","0.0","6110605"
"BEETON","44.100","-79.783","ON","-7.9","2",NA,"7.2","0","-27.8","2","",,NA,"",,NA,"","","","",NA,"752.3","0.0","6110661"
"BINGHAM CHUTE","46.083","-79.400","ON","-14.0","0",NA,"6.7","0","-36.7","0","65.9","0",NA,"73.8","0",NA,"","15","","",NA,"992.4","0.0","6110745"
"CAMP BORDEN A","44.317","-79.900","ON","-9.8","4",NA,"8.9","4","-32.2","4","15.2","11",NA,"15.2","13",NA,"","1","","",NA,"750.4","0.0","6111145"
"COLDWATER","44.700","-79.667","ON","-12.0","0",NA,"4.4","0","-38.3","0","152.9","0",NA,"184.1","0",NA,"","18","","",NA,"929.1","0.0","6111766"
"COLLINGWOOD","44.483","-80.217","ON","-7.5","0",NA,"6.1","0","-27.2","0","54.4","0",NA,"62.0","0",NA,"","17","","",NA,"789.8","0.0","6111793"
"EMSDALE","45.500","-79.233","ON","",,NA,"",,"",,"29.4","0",NA,"60.9","0",NA,"","12","","",NA,"","","6112313"
"EUGENIA","44.333","-80.550","ON","",,NA,"",,"",,"20.3","0",NA,"25.9","0",NA,"","9","","",NA,"","","6112350"
"HUNTSVILLE","45.317","-79.250","ON","-10.9","0",NA,"6.1","0","-31.1","0","46.7","0",NA,"81.8","0",NA,"","14","","",NA,"896.9","0.0","6113660"
"MAGNETAWAN","45.667","-79.783","ON","-12.3","0",NA,"6.1","0","-34.4","0","48.2","0",NA,"81.9","0",NA,"","14","","",NA,"940.3","0.0","6114805"
"MUSKOKA A","44.967","-79.300","ON","",,"","",,"",,"45.7","0","52.0","61.7","0","66.0","","13","","",NA,"","","6115525"
"ORILLIA","44.617","-79.400","ON","-9.4","0",NA,"6.1","0","-28.9","0","71.7","0",NA,"82.3","0",NA,"","17","","",NA,"848.9","0.0","6115810"
"OWEN SOUND","44.567","-80.917","ON","-7.3","0",NA,"7.8","0","-23.3","0","106.4","0",NA,"120.8","0",NA,"","22","","",NA,"785.8","0.0","6116128"
"PARRY SOUND","45.333","-80.000","ON","-10.4","0",NA,"6.1","0","-28.9","0","77.1","0",NA,"106.0","0",NA,"","15","","",NA,"880.4","0.0","6116254"
"SCOTIA","45.517","-79.300","ON","",,NA,"",,"",,"25.3","0",NA,"56.8","0",NA,"","8","","",NA,"","","6117663"
"WASHAGO","44.750","-79.333","ON","",,NA,"",,"",,"40.1","0",NA,"58.4","0",NA,"","15","","",NA,"","","6119325"
"WAUBAUSHENE","44.767","-79.700","ON","-9.4","0",NA,"6.1","0","-30.6","0","85.4","0",NA,"87.2","0",NA,"","13","","",NA,"850.8","0.0","6119399"
"BRUCEFIELD","43.550","-81.550","ON","-6.7","0",NA,"5.0","0","-20.0","0","36.5","0",NA,"41.6","0",NA,"","10","","",NA,"764.8","0.0","6121025"
"FOREST","43.167","-82.033","ON","-6.4","0",NA,"5.0","0","-18.9","0","8.8","0",NA,"18.9","0",NA,"","5","","",NA,"756.6","0.0","6122450"
"GODERICH","43.750","-81.700","ON","-5.3","0",NA,"7.2","0","-18.9","0","44.4","0",NA,"65.3","0",NA,"","10","","",NA,"723.0","0.0","6122845"
"GODERICH TOWNSHIP","43.717","-81.700","ON","-6.0","0",NA,"6.7","0","-20.6","0","43.1","0",NA,"59.6","0",NA,"","7","","",NA,"745.2","0.0","6122851"
"LUCKNOW","43.950","-81.500","ON","-6.9","0",NA,"6.1","0","-25.6","0","77.6","0",NA,"90.1","0",NA,"","18","","",NA,"773.4","0.0","6124700"
"SOUTHAMPTON","44.500","-81.367","ON","-7.4","0",NA,"6.7","0","-23.9","0","71.8","0",NA,"94.4","0",NA,"","22","","",NA,"786.0","0.0","6127887"
"TOBERMORY","45.250","-81.667","ON","",,NA,"6.1","0","",,"88.8","0",NA,"126.9","0",NA,"","12","","",NA,"","","6128320"
"WALKERTON","44.133","-81.150","ON","-7.7","0",NA,"5.6","0","-28.9","0","86.3","0",NA,"119.4","0",NA,"","16","","",NA,"797.9","0.0","6129235"
"CALEDONIA","43.083","-79.950","ON","-6.9","11",NA,"8.3","6","-21.1","7","43.1","0",NA,"60.6","0",NA,"","12","","",NA,"497.8","0.0","6131081"
"CHATHAM","42.400","-82.200","ON","-4.5","0",NA,"8.3","0","-17.8","0","13.9","0",NA,"40.9","0",NA,"","11","","",NA,"698.9","0.0","6131386"
"CHATHAM 2","42.400","-82.200","ON","",,NA,"",,"",,"17.8","0",NA,"31.0","0",NA,"","5","","",NA,"","","6131388"
"DELHI CDA","42.867","-80.550","ON","-6.4","0","-1.0","6.7","0","-22.2","0","30.5","0","100.0","56.7","0","81.0","","11","","",NA,"755.1","0.0","6131982"
"GRIMSBY","43.200","-79.567","ON","-4.6","0",NA,"8.3","0","-18.9","0","15.2","0",NA,"32.3","0",NA,"","6","","",NA,"700.1","0.0","6133047"
"GRIMSBY ROCK CHAPEL","43.183","-79.583","ON","-6.2","0",NA,"7.8","0","-17.2","0","38.9","0",NA,"51.6","0",NA,"","13","","",NA,"750.2","0.0","6133057"
"HARROW CDA","42.033","-82.900","ON","-3.6","0",NA,"8.9","0","-18.9","0","18.7","0",NA,"32.2","0",NA,"","11","","",NA,"671.1","0.0","6133360"
"LEAMINGTON","42.050","-82.633","ON","-4.3","0",NA,"6.7","0","-18.9","0","14.7","0",NA,"22.3","0",NA,"","9","","",NA,"689.8","0.0","6134390"
"NIAGARA FALLS","43.133","-79.083","ON","",,NA,"",,"",,"27.9","0",NA,"42.9","0",NA,"","8","","",NA,"","","6135638"
"NIAGARA FALLS ONT HYDRO","43.083","-79.083","ON","",,NA,"",,"",,"40.1","0",NA,"59.9","0",NA,"","14","","",NA,"","","6135660"
"PELEE ISLAND","41.750","-82.683","ON","-3.0","0",NA,"11.1","0","-19.4","0","5.0","0",NA,"14.1","0",NA,"","3","","",NA,"650.4","0.0","6136335"
"PORT DOVER","42.783","-80.217","ON","-6.1","0",NA,"5.0","0","-22.2","0","15.4","0",NA,"36.3","0",NA,"","9","","",NA,"747.0","0.0","6136643"
"RIDGETOWN","42.450","-81.883","ON","-5.2","0",NA,"6.7","0","-18.3","0","26.7","0",NA,"41.9","0",NA,"","9","","",NA,"719.5","0.0","6137147"
"ST CATHARINES","43.200","-79.250","ON","-4.7","0",NA,"8.9","0","-21.1","0","31.8","0",NA,"41.7","0",NA,"","8","","",NA,"704.3","0.0","6137285"
"ST CATHARINES CDA","43.183","-79.233","ON","-4.9","0",NA,"9.4","0","-22.2","0","41.3","0",NA,"55.9","0",NA,"","10","","",NA,"711.2","0.0","6137301"
"ST THOMAS","42.783","-81.167","ON","-5.9","0",NA,"8.3","0","-19.4","0","20.3","0",NA,"37.6","0",NA,"","8","","",NA,"741.6","0.0","6137361"
"SIMCOE","42.867","-80.333","ON","-6.2","0",NA,"7.2","0","-20.6","0","42.5","0",NA,"58.7","0",NA,"","11","","",NA,"750.5","0.0","6137735"
"VINELAND STATION","43.183","-79.400","ON","-4.5","0",NA,"10.0","0","-21.1","0","29.0","0",NA,"41.8","0",NA,"","6","","",NA,"697.8","0.0","6139145"
"WALLACEBURG","42.583","-82.400","ON","-4.5","0",NA,"7.8","0","-18.3","0","7.9","0",NA,"22.2","0",NA,"","8","","",NA,"698.9","0.0","6139265"
"WELLAND","43.000","-79.267","ON","-5.5","0","-1.2","7.2","0","-20.0","0","40.2","0","101.0","54.6","0","70.0","","10","","",NA,"727.6","0.0","6139445"
"BRANTFORD","43.133","-80.267","ON","-6.2","0",NA,"6.7","0","-21.7","0","38.1","0",NA,"54.3","0",NA,"","10","","",NA,"750.9","0.0","6140941"
"GRAND VALLEY","43.883","-80.350","ON","-9.6","2",NA,"5.6","2","-25.6","2","34.3","0",NA,"52.6","0",NA,"","10","","",NA,"800.3","0.0","6142990"
"GUELPH OAC","43.517","-80.233","ON","-7.5","0",NA,"6.7","0","-20.6","0","32.2","0",NA,"43.1","0",NA,"","10","","",NA,"790.0","0.0","6143083"
"KITCHENER","43.433","-80.500","ON","-6.8","0",NA,"4.4","0","-19.4","0","49.4","0",NA,"71.0","0",NA,"","10","","",NA,"769.2","0.0","6144232"
"LONDON LAMBETH A","42.983","-81.217","ON","-7.1","0",NA,"7.2","0","-20.0","0","46.9","0",NA,"64.9","0",NA,"","17","","",NA,"777.3","0.0","6144481"
"LUCAN","43.183","-81.417","ON","-7.2","0",NA,"6.7","0","-20.0","0","63.4","0",NA,"67.1","0",NA,"","13","","",NA,"781.5","0.0","6144665"
"MOUNT FOREST","43.983","-80.750","ON","-8.8","0",NA,"3.9","0","-26.1","0","45.4","0",NA,"81.1","0",NA,"","13","","",NA,"831.5","0.0","6145503"
"PARIS","43.183","-80.450","ON","-5.8","0",NA,"8.9","0","-20.6","0","59.5","0",NA,"80.3","0",NA,"","18","","",NA,"738.4","0.0","6146240"
"STRATFORD","43.383","-81.000","ON","-7.1","0",NA,"5.6","0","-17.8","0","44.7","0",NA,"60.0","0",NA,"","17","","",NA,"777.2","0.0","6148100"
"WOODSTOCK","43.133","-80.767","ON","-7.2","0","-1.5","5.6","0","-18.9","0","35.6","0","109.0","54.6","0","81.0","","11","","",NA,"782.7","0.0","6149625"
"BELLEVILLE","44.150","-77.400","ON","-8.9","0","-2.2","6.7","0","-25.0","0","48.0","0","131.0","83.0","0","123.0","","12","","",NA,"833.3","0.0","6150689"
"BELLEVILLE PAR LAB","44.167","-77.350","ON","-8.2","0",NA,"7.8","0","-26.1","0","71.0","0",NA,"71.0","0",NA,"","9","","",NA,"813.4","0.0","6150717"
"CAMPBELLFORD","44.300","-77.800","ON","",,NA,"",,"",,"22.4","0",NA,"49.3","0",NA,"","9","","",NA,"","","6151137"
"GEORGETOWN","43.650","-79.950","ON","-8.2","0",NA,"5.6","0","-23.3","0","24.5","0",NA,"39.3","0",NA,"","7","","",NA,"811.2","0.0","6152691"
"MEYERSBURG","44.250","-77.800","ON","",,NA,"",,"",,"25.9","0",NA,"61.5","0",NA,"","9","","",NA,"","","6155071"
"OAK RIDGES","43.967","-79.467","ON","-8.4","0",NA,"5.0","0","-27.2","0","28.2","0",NA,"27.9","2",NA,"","6","","",NA,"817.7","0.0","6155722"
"ORONO","43.967","-78.617","ON","-7.7","0",NA,"6.1","0","-22.2","0","37.7","0",NA,"85.9","0",NA,"","12","","",NA,"795.6","0.0","6155854"
"PICTON","44.017","-77.133","ON","-8.7","4",NA,"7.2","4","-24.4","4","",,NA,"",,NA,"","","","",NA,"722.1","0.0","6156533"
"TORONTO","43.667","-79.400","ON","-5.4","0","-1.6","8.3","0","-20.0","0","25.0","0","67.0","41.8","0","68.0","","5","","",NA,"725.0","0.0","6158350"
"TORONTO AGINCOURT","43.783","-79.267","ON","-6.9","0",NA,"6.1","0","-22.2","0","19.2","0",NA,"38.2","0",NA,"","5","","",NA,"770.7","0.0","6158363"
"TORONTO LESTER B. PEARSON INT'L A","43.667","-79.600","ON","-7.1","2","-1.6","7.8","1","-27.2","2","26.9","0","91.0","40.4","0","78.0","","5","","",NA,"727.8","0.0","6158733"
"TRENTON A","44.117","-77.533","ON","-8.6","2","-1.7","7.8","1","-25.6","1","25.5","0","57.0","56.0","0","82.0","","8","","",NA,"770.4","0.0","6158875"
"TRENTON ONT HYDRO","44.133","-77.600","ON","",,NA,"",,"",,"50.8","0",NA,"95.7","0",NA,"","11","","",NA,"","","6158885"
"TWEED","44.500","-77.283","ON","-10.0","0",NA,"6.1","0","-28.3","0","49.7","0",NA,"85.2","0",NA,"","10","","",NA,"868.6","0.0","6159010"
"UXBRIDGE","44.083","-79.133","ON","-10.0","0",NA,"5.6","0","-27.8","0","",,NA,"",,NA,"","","","",NA,"867.9","0.0","6159122"
"APSLEY","44.767","-78.083","ON","-11.7","1",NA,"5.0","0","-32.2","1","31.1","0",NA,"59.6","0",NA,"","12","","",NA,"890.9","0.0","6160297"
"BANCROFT","45.050","-77.850","ON","",,NA,"",,"",,"10.2","0",NA,"32.8","0",NA,"","4","","",NA,"","","6160465"
"FENELON FALLS","44.533","-78.733","ON","",,NA,"",,"",,"36.8","0",NA,"44.9","0",NA,"","16","","",NA,"","","6162375"
"HALIBURTON A","45.000","-78.583","ON","-11.5","0",NA,"5.6","0","-33.3","0","",,NA,"",,NA,"","","","",NA,"914.6","0.0","6163156"
"LAKEFIELD","44.467","-78.233","ON","-10.1","0",NA,"5.0","0","-28.9","0","20.2","0",NA,"48.3","0",NA,"","8","","",NA,"869.9","0.0","6164297"
"LINDSAY","44.350","-78.750","ON","-9.6","0",NA,"4.4","0","-26.1","0","23.5","0",NA,"27.3","0",NA,"","9","","",NA,"856.3","0.0","6164430"
"PETERBOROUGH","44.283","-78.317","ON","-8.6","0",NA,"5.6","0","-23.9","0","24.6","0",NA,"47.2","0",NA,"","10","","",NA,"824.1","0.0","6166416"
"QUEENSBORO","44.600","-77.417","ON","-9.8","0",NA,"6.1","0","-26.1","0","",,NA,"",,NA,"","","","",NA,"862.8","0.0","6166800"
